"ENERGETSKI VIR","2002 Transformacija","2002 Končna raba","2002 Skupaj","2003 Transformacija","2003 Končna raba","2003 Skupaj","2004 Transformacija","2004 Končna raba","2004 Skupaj","2005 Transformacija","2005 Končna raba","2005 Skupaj","2006 Transformacija","2006 Končna raba","2006 Skupaj","2007 Transformacija","2007 Končna raba","2007 Skupaj","2008 Transformacija","2008 Končna raba","2008 Skupaj","2009 Transformacija","2009 Končna raba","2009 Skupaj","2010 Transformacija","2010 Končna raba","2010 Skupaj","2011 Transformacija","2011 Končna raba","2011 Skupaj","2012 Transformacija","2012 Končna raba","2012 Skupaj","2013 Transformacija","2013 Končna raba","2013 Skupaj","2014 Transformacija","2014 Končna raba","2014 Skupaj","2015 Transformacija","2015 Končna raba","2015 Skupaj","2016 Transformacija","2016 Končna raba","2016 Skupaj","2017 Transformacija","2017 Končna raba","2017 Skupaj","2018 Transformacija","2018 Končna raba","2018 Skupaj","2019 Transformacija","2019 Končna raba","2019 Skupaj","2020 Transformacija","2020 Končna raba","2020 Skupaj"
"Geotermalna in toplota iz okolice (TJ)",-,33.353,33.353,-,45.069,45.069,-,67.003,67.003,-,99.717,99.717,-,129.276,129.276,-,164.069,164.069,-,223.560,223.560,-,274.755,274.755,83.000,1092.690,1175.700,72.000,1182.630,1254.600,84.000,1240.208,1324.200,78.000,1407.109,1485.100,62.000,1494.561,1556.600,65.000,1666.442,1731.400,46.000,1913.102,1959.100,45.094,2099.319,2144.413,39.083,2156.505,2195.588,38.830,2241.138,2279.968,37.998,2561.053,2599.051
"Solarna termična (TJ)",-,200.490,200.490,-,196.375,196.375,-,196.340,196.340,-,205.966,205.966,-,220.577,220.577,-,242.982,242.982,-,259.425,259.425,-,321.352,321.352,-,344.473,344.473,-,372.603,372.603,-,409.998,409.998,-,426.000,426.000,-,429.169,429.169,-,434.918,434.918,-,439.895,439.895,-,441.451,441.451,-,442.896,442.896,-,443.298,443.298,-,430.445,430.445
"Industrijski odpadki - obnovljivi (TJ)",-,-,-,-,31.700,31.700,-,59.585,59.585,-,93.529,93.529,-,119.273,119.273,-,85.128,85.128,-,218.386,218.386,-,153.782,153.782,-,196.116,196.116,-,225.885,225.885,-,354.261,354.261,-,383.941,383.941,-,433.237,433.237,-,228.076,228.076,-,184.627,184.627,-,125.177,125.177,-,120.542,120.542,-,81.944,81.944,-,87.309,87.309
"Industrijski odpadki - neobnovljivi (TJ)",3.000,-,3.000,39.000,196.300,235.300,26.000,349.186,374.694,25.674,423.288,448.962,19.140,529.304,548.444,22.818,427.224,450.042,16.800,372.814,389.614,23.883,650.424,674.307,21.236,757.425,778.661,263.650,738.621,1002.275,315.720,662.882,978.603,310.400,759.004,1069.403,320.780,1054.775,1375.557,330.320,1243.472,1573.789,356.930,1334.903,1691.828,374.627,1639.096,2013.723,409.265,1999.939,2409.204,363.796,2233.410,2597.206,410.370,1984.363,2394.733
"Komunalni odpadki - obnovljivi (TJ)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Komunalni odpadki - neobnovljivi (TJ)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Les in druga trdna biomasa (TJ)",1237.000,21398.000,22635.000,1324.000,23827.000,25151.000,1450.000,23397.000,24847.000,1311.000,28026.000,29337.000,1242.000,24517.000,25759.000,978.000,27250.000,28228.000,2917.000,26224.000,29141.000,1855.000,24980.000,26835.000,1793.000,25695.000,27488.000,1913.000,25481.000,27394.000,1796.000,24384.000,26180.000,1877.632,25483.815,27361.447,1754.888,22381.291,24136.179,2187.104,24780.829,26967.933,2180.517,24857.875,27038.392,2517.437,23677.289,26194.726,2408.468,21003.267,23411.735,2798.085,20052.010,22850.095,2798.294,19262.624,22060.918
"Deponijski plin (TJ)",145.000,36.000,181.000,186.000,35.000,221.000,200.000,41.000,241.000,211.000,42.000,253.000,236.000,52.000,288.000,256.000,61.000,317.000,279.000,65.000,344.000,285.000,64.000,349.000,263.000,61.000,324.000,239.000,59.000,298.000,228.000,59.000,287.000,235.000,62.000,297.000,215.000,57.000,272.000,167.000,44.000,211.000,120.000,33.000,153.000,60.048,18.720,78.768,60.667,21.086,81.753,49.130,15.632,64.762,45.900,14.202,60.102
"Plin iz čistilnih naprav (TJ)",13.000,20.000,33.000,7.000,13.000,20.000,13.000,24.000,37.000,12.000,19.000,31.000,19.000,28.000,47.000,13.000,12.000,25.000,70.000,60.000,130.000,110.000,16.000,126.000,82.000,35.000,117.000,83.000,30.000,113.000,103.000,27.000,130.000,97.000,20.000,117.000,94.000,15.000,109.000,82.000,20.000,102.000,72.000,20.000,92.000,71.630,15.131,86.761,59.329,24.093,83.422,26.607,21.844,48.451,26.675,22.299,48.974
"Drugi bioplini (TJ)",-,-,-,-,-,-,-,-,-,-,-,-,10.000,8.000,18.000,81.000,77.000,158.000,57.000,58.000,115.000,455.000,7.000,462.000,821.000,11.000,832.000,1083.000,12.000,1095.000,1166.000,14.000,1180.000,1026.000,14.000,1040.000,894.000,15.000,909.000,915.000,15.000,930.000,1003.000,15.000,1018.000,892.594,18.348,910.942,836.762,16.236,852.998,799.093,17.375,816.468,929.235,90.427,1019.683
"Biodizel (TJ)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,545.000,545.000,-,932.000,932.000,-,1169.000,1169.000,-,1752.000,1752.000,-,1312.000,1312.000,-,1919.000,1919.000,9.000,2201.000,2210.000,36.000,1528.000,1564.000,38.000,975.000,1013.000,28.000,606.000,634.000,44.773,871.646,916.419,58.115,2762.474,2820.589,48.330,3803.211,3851.541,66.374,3569.075,3635.449
"Biobencin (TJ)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33.000,33.000,-,99.000,99.000,-,104.000,104.000,-,163.000,163.000,-,206.000,206.000,-,258.000,258.000,-,306.000,306.000,-,329.000,329.000,-,277.000,277.000,-,178.000,178.000,-,176.958,176.958,-,326.382,326.382,-,177.420,177.420,-,336.722,336.722
